DecCrimeFedSpending,interestInElection,PRE_IntentVote,Year,Sex,PartyIDRepublican,IncSpendingServices,WeakReligiousAttendence,WorseEconomyView,AbortionRightsSC,Age,EducationLevel,Income,Race,Region,IncDefenseSpending,IncPrivateMedInsurance,RegistrationStatus,Voted,VotePresident,HH_In_Union,MaritalStatus,FedTaxesNotWasted,DecEmphasisOnTraditionalValues,swing_voter
1,1,4,1988.0,2,4,4,5,3,2,26.0,2,1,2,2,4,5,1,1,1,2,3,1,3,True
1,1,4,1988.0,2,3,6,4,3,4,24.0,2,1,1,2,3,5,1,1,1,2,3,2,3,True
2,2,2,1988.0,2,6,5,3,3,3,17.0,2,3,1,3,7,2,1,1,1,2,2,2,1,True
1,1,1,1988.0,2,4,5,1,2,2,45.0,4,3,1,3,5,2,2,2,1,2,2,1,1,False
1,2,3,1988.0,2,0,4,2,3,3,51.0,2,2,2,3,4,4,2,1,1,2,4,2,3,True
1,3,1,1988.0,2,1,6,2,5,4,53.0,2,4,2,2,1,4,2,2,1,1,3,1,1,False
1,1,1,1988.0,1,3,2,3,5,4,59.0,3,3,1,2,5,7,2,2,1,2,1,1,1,False
1,2,2,1988.0,1,5,4,1,2,2,55.0,3,3,1,2,4,4,2,2,2,2,1,2,2,False
1,2,2,1988.0,2,6,4,1,2,2,23.0,3,3,1,3,3,5,2,2,2,2,2,1,1,False
1,1,1,1988.0,2,6,4,3,3,1,27.0,2,1,2,3,7,3,1,1,1,2,2,0,2,False
2,3,2,1988.0,1,2,4,1,3,2,60.0,2,4,1,3,4,5,2,2,2,2,1,1,2,False
1,2,4,1988.0,1,4,3,3,3,4,31.0,2,3,5,3,3,1,1,1,1,2,2,1,1,True
1,1,4,1988.0,2,4,6,4,4,2,26.0,2,4,1,2,2,3,1,1,1,1,1,1,2,True
1,2,1,1988.0,2,1,4,2,3,4,38.0,2,3,1,2,2,4,2,1,1,1,1,0,2,False
2,2,2,1988.0,2,6,4,5,5,4,31.0,2,3,1,2,5,1,2,2,2,2,1,1,1,False
1,1,1,1988.0,1,6,4,5,3,3,67.0,2,2,1,2,2,1,2,2,1,2,1,1,1,False
1,2,1,1988.0,2,5,2,2,3,2,35.0,4,3,1,2,2,5,2,2,1,2,2,1,1,False
2,1,4,1988.0,2,2,5,3,3,2,71.0,1,1,1,2,3,2,1,1,1,2,5,1,2,True
1,2,4,1988.0,1,3,5,0,4,4,28.0,2,4,2,3,1,1,2,1,1,2,1,1,1,True
1,2,3,1988.0,1,3,3,1,4,2,46.0,4,4,1,3,3,7,2,2,1,2,1,1,1,True
1,3,1,1988.0,1,2,5,3,2,2,41.0,3,4,2,3,5,6,2,1,1,1,1,2,2,False
2,2,1,1988.0,2,1,5,3,4,4,31.0,4,4,2,3,2,2,2,2,1,1,1,2,3,False
1,3,1,1988.0,1,3,4,3,3,4,33.0,2,3,2,1,1,1,2,2,1,1,2,1,2,False
1,1,2,1988.0,1,5,1,1,4,4,75.0,4,4,1,1,4,7,2,2,2,2,1,1,1,False
1,1,4,1988.0,2,4,7,5,3,4,36.0,2,3,1,1,4,1,1,1,1,2,1,0,2,True
1,3,1,1988.0,2,6,2,1,0,4,57.0,4,3,1,1,5,1,2,2,2,2,2,2,3,True
1,3,2,1988.0,1,7,3,1,3,4,44.0,4,4,1,2,5,4,2,2,2,1,1,1,1,False
1,1,1,1988.0,2,1,5,4,3,3,50.0,3,1,2,2,4,3,2,2,1,1,1,2,3,False
1,3,1,1988.0,1,1,7,1,3,3,51.0,2,1,2,2,7,1,1,1,1,2,3,1,1,False
1,2,2,1988.0,2,2,6,4,2,3,39.0,3,4,1,1,4,3,2,2,2,2,3,2,4,False
1,1,2,1988.0,1,4,5,4,3,4,30.0,4,4,1,2,4,5,2,2,2,2,2,1,3,False
2,2,2,1988.0,2,7,4,4,3,4,67.0,4,4,1,1,3,7,1,1,1,2,2,1,1,True
1,1,4,1988.0,2,4,5,2,3,2,29.0,2,2,2,1,4,5,1,1,1,2,1,1,2,True
2,2,1,1988.0,2,2,4,5,3,4,35.0,3,4,1,1,3,3,2,2,1,2,7,3,5,False
2,3,2,1988.0,1,1,6,4,3,4,27.0,4,3,1,1,3,1,2,2,1,2,2,3,3,True
1,2,2,1988.0,2,6,3,1,2,2,38.0,2,1,1,1,5,7,2,1,1,2,1,0,2,True
1,1,4,1988.0,2,6,4,1,3,1,74.0,2,3,1,3,5,2,1,1,1,2,1,1,1,True
1,3,2,1988.0,2,5,3,2,4,3,73.0,4,1,1,3,4,7,2,2,2,2,5,1,1,False
1,1,2,1988.0,2,7,4,2,3,3,20.0,3,1,1,3,4,6,2,2,2,2,1,2,3,False
1,3,2,1988.0,1,6,4,4,3,3,52.0,4,5,1,3,3,5,2,2,2,2,1,2,1,False
1,3,3,1988.0,1,2,4,1,2,2,39.0,3,4,2,3,4,4,2,2,2,1,1,1,1,True
1,1,2,1988.0,1,1,7,4,3,4,30.0,2,3,1,1,4,1,2,1,1,1,1,0,2,True
1,2,1,1988.0,1,5,2,4,3,2,53.0,1,4,5,3,4,4,2,2,2,2,1,3,3,True
1,2,1,1988.0,1,1,4,3,4,1,50.0,1,2,5,3,1,1,2,2,1,2,1,1,1,False
1,2,1,1988.0,1,2,6,5,4,2,18.0,2,4,1,2,6,1,1,1,1,2,2,1,2,False
1,1,2,1988.0,1,6,4,3,4,1,58.0,1,1,1,2,4,4,2,1,1,2,2,1,2,True
1,3,1,1988.0,1,1,2,1,4,2,80.0,1,3,1,3,4,1,2,2,1,2,1,1,1,False
2,2,4,1988.0,1,5,2,3,3,2,27.0,2,4,1,3,5,7,1,1,1,2,1,1,2,True
1,2,1,1988.0,2,1,7,3,3,3,28.0,3,1,2,3,1,3,1,1,1,2,2,1,1,False
2,1,4,1988.0,2,3,5,3,3,4,68.0,1,1,2,3,2,4,2,1,1,2,5,1,3,True
2,3,3,1988.0,2,3,6,4,3,4,25.0,2,3,5,3,3,2,2,2,1,2,1,1,2,True
1,3,1,1988.0,2,3,5,5,3,2,60.0,1,1,1,3,4,4,1,1,1,2,5,2,1,False
2,2,2,1988.0,2,2,4,4,3,1,35.0,3,4,1,3,3,4,2,2,2,2,1,1,2,False
1,3,1,1988.0,1,1,7,2,5,2,33.0,4,3,1,3,4,1,2,2,1,1,2,1,1,False
1,3,2,1988.0,1,7,2,5,4,2,59.0,2,3,1,2,7,7,2,2,2,2,1,1,1,False
2,3,1,1988.0,2,6,4,3,3,2,65.0,3,2,1,2,4,3,2,2,2,2,1,1,1,True
1,2,4,1988.0,2,4,7,4,3,4,32.0,3,1,1,1,5,1,1,1,1,2,3,1,2,True
2,1,2,1988.0,1,4,2,4,3,4,25.0,3,1,1,4,5,7,2,2,2,1,2,2,2,False
1,2,1,1988.0,2,1,6,1,3,1,28.0,3,4,2,4,4,1,2,2,1,2,1,1,1,False
2,3,2,1988.0,2,7,3,1,3,3,37.0,3,5,1,2,4,6,2,2,2,2,1,1,2,False
2,3,2,1988.0,1,5,1,2,2,2,48.0,4,5,1,2,2,5,2,2,2,2,1,1,2,False
1,2,1,1988.0,2,3,1,4,4,4,29.0,3,3,5,3,4,1,2,1,1,2,1,0,2,False
1,1,1,1988.0,2,2,5,3,3,1,50.0,2,1,5,3,3,1,2,2,1,2,1,2,1,False
1,3,2,1988.0,2,7,1,4,1,2,28.0,3,3,5,4,5,5,2,2,2,2,2,1,2,False
1,3,2,1988.0,1,5,4,4,3,3,64.0,4,4,1,4,4,3,2,2,2,2,1,1,1,False
1,3,4,1988.0,2,7,7,2,2,1,35.0,2,4,5,4,7,7,1,1,1,1,1,1,1,True
1,1,1,1988.0,2,1,7,1,3,1,42.0,2,1,4,3,2,1,1,1,1,2,2,1,2,False
1,2,2,1988.0,1,5,4,4,3,2,83.0,4,1,5,3,3,1,2,2,2,2,1,1,2,False
1,2,2,1988.0,1,7,6,5,3,3,67.0,2,3,1,4,5,4,1,1,1,2,4,2,2,True
1,3,4,1988.0,1,5,4,3,5,4,20.0,3,1,1,4,2,4,1,1,1,2,2,1,4,True
1,2,1,1988.0,1,3,4,4,4,2,68.0,3,4,1,4,4,5,2,2,2,1,5,2,2,True
1,2,1,1988.0,2,2,5,1,3,3,79.0,2,1,1,4,4,4,1,1,1,2,3,0,1,False
1,2,2,1988.0,2,1,3,3,5,4,26.0,2,3,1,3,5,1,1,1,1,2,4,2,1,True
1,1,2,1988.0,2,5,3,3,3,1,29.0,2,2,1,3,7,1,1,1,1,2,2,1,3,True
1,2,2,1988.0,1,7,4,3,3,4,34.0,4,5,5,3,5,5,2,1,1,2,1,0,2,True
2,2,1,1988.0,2,7,4,4,5,3,41.0,2,3,1,1,7,1,1,1,1,1,1,1,1,False
1,2,2,1988.0,2,6,3,2,3,3,35.0,3,4,1,4,4,5,2,2,1,2,1,1,1,True
1,1,2,1988.0,1,5,4,4,4,4,47.0,4,3,1,4,4,2,2,1,1,2,2,2,1,True
1,1,4,1988.0,2,2,4,5,4,4,52.0,2,3,1,4,6,1,2,1,1,2,1,0,2,True
2,2,2,1988.0,1,2,2,1,3,2,55.0,2,3,1,3,4,7,2,1,1,2,1,0,1,True
1,1,4,1988.0,1,1,7,4,1,1,70.0,1,2,1,3,7,1,1,1,1,2,1,1,2,True
2,1,3,1988.0,2,5,4,4,5,1,58.0,1,1,5,3,4,2,2,2,2,2,1,2,1,True
2,3,1,1988.0,2,1,5,1,4,1,17.0,2,3,5,3,3,5,1,1,1,2,2,1,3,False
1,2,4,1988.0,2,4,4,4,3,4,36.0,2,1,1,4,4,3,1,1,1,2,1,0,2,True
1,3,1,1988.0,2,3,4,4,4,3,73.0,2,2,1,4,2,4,2,2,1,1,1,1,1,False
2,2,2,1988.0,1,6,4,2,2,2,74.0,3,4,1,4,4,5,2,2,2,2,1,2,1,False
2,2,1,1988.0,2,2,6,4,3,2,28.0,2,1,2,2,1,4,1,1,1,2,3,0,1,False
2,1,2,1988.0,2,7,2,4,0,4,61.0,3,3,1,4,7,7,2,1,1,2,1,0,1,True
1,2,4,1988.0,1,5,4,4,4,4,19.0,2,4,1,4,1,2,1,1,1,2,2,1,2,True
1,2,1,1988.0,1,2,3,3,4,1,38.0,3,3,5,4,6,6,1,1,1,2,1,1,2,False
2,2,4,1988.0,1,6,1,3,2,4,59.0,3,3,1,4,1,7,2,1,1,2,2,0,2,True
1,1,2,1988.0,1,6,1,1,1,2,58.0,4,4,1,2,4,7,2,2,2,2,1,1,1,False
1,1,2,1988.0,1,5,4,2,3,1,49.0,4,4,1,3,7,4,2,2,2,2,1,2,1,False
1,3,1,1988.0,2,3,3,3,3,2,58.0,1,3,1,3,7,4,2,2,1,2,1,1,5,False
2,2,2,1988.0,2,4,5,4,3,2,36.0,4,3,1,4,2,4,2,2,1,2,2,1,3,True
1,3,3,1988.0,1,3,6,3,4,4,36.0,1,4,1,1,3,2,1,1,1,2,2,0,2,True
2,2,2,1988.0,2,7,4,2,3,4,58.0,4,3,1,1,3,4,2,2,2,2,1,2,1,False
1,2,2,1988.0,1,5,3,4,2,2,64.0,2,5,1,1,5,4,2,2,2,2,1,1,2,False
2,2,1,1988.0,1,3,5,4,3,3,32.0,4,1,1,2,1,4,2,1,1,1,2,0,3,False
2,2,2,1988.0,2,4,1,3,3,2,28.0,4,4,1,2,2,7,2,2,2,2,1,1,4,False
1,2,1,1988.0,2,1,4,1,0,2,64.0,2,3,1,1,4,2,2,1,1,2,1,0,1,False
1,3,2,1988.0,1,2,2,3,3,4,50.0,4,4,1,3,3,7,2,2,2,2,4,1,2,False
1,3,2,1988.0,2,6,5,2,3,3,89.0,2,1,1,4,4,3,2,2,1,2,5,1,1,True
1,3,2,1988.0,2,7,2,1,1,2,76.0,2,3,1,4,5,4,2,2,2,2,5,1,1,False
1,2,3,1988.0,2,4,6,1,4,2,47.0,2,2,5,3,5,3,2,2,2,2,1,2,1,True
1,3,2,1988.0,2,5,4,4,4,2,78.0,1,1,1,4,5,2,2,2,2,2,5,1,1,False
1,2,2,1988.0,1,6,2,4,3,2,26.0,2,3,1,2,2,1,2,2,2,2,1,1,2,False
2,1,2,1988.0,1,4,5,5,3,4,80.0,1,1,1,2,3,7,1,1,1,2,5,1,1,True
1,2,2,1988.0,2,4,3,1,3,3,28.0,2,2,1,2,2,5,2,1,1,2,2,1,1,True
1,2,1,1988.0,2,2,5,3,3,1,43.0,3,3,1,2,2,5,2,2,1,1,1,1,1,False
1,2,1,1988.0,2,1,5,1,5,4,70.0,2,4,1,2,3,6,2,2,1,2,1,1,1,False
2,2,1,1988.0,2,2,5,1,3,2,58.0,4,3,2,3,3,3,2,1,1,1,3,1,3,False
1,2,2,1988.0,2,6,7,3,3,4,29.0,3,3,1,3,6,6,2,2,2,2,1,2,1,False
1,2,2,1988.0,1,6,2,3,3,4,35.0,3,4,1,4,4,6,2,1,1,2,1,1,2,True
2,2,2,1988.0,2,5,5,4,3,4,29.0,2,3,2,3,5,7,2,1,1,1,1,2,2,True
1,2,2,1988.0,1,5,3,3,3,4,61.0,3,3,1,3,4,4,2,2,1,2,1,1,1,True
1,2,1,1988.0,2,2,6,4,3,3,45.0,2,4,1,2,4,2,1,1,1,1,1,1,1,False
1,3,1,1988.0,2,2,3,1,3,3,57.0,4,1,1,3,4,3,2,2,1,2,1,2,1,False
1,2,2,1988.0,1,4,4,4,2,4,50.0,2,4,1,3,4,1,2,2,2,2,1,1,1,False
2,2,1,1988.0,2,1,1,2,5,3,35.0,2,1,4,3,6,4,2,1,1,2,4,1,1,False
1,2,2,1988.0,2,5,7,3,2,4,32.0,2,3,1,3,3,3,1,1,1,2,1,1,1,True
2,2,1,1988.0,2,6,6,2,3,4,51.0,2,1,2,3,4,4,2,1,1,2,5,0,1,False
1,3,2,1988.0,1,6,4,1,3,2,64.0,4,2,1,4,4,4,2,2,2,2,1,1,1,False
2,2,2,1988.0,1,7,2,5,1,4,70.0,1,3,1,4,5,6,2,2,2,1,1,1,2,False
1,3,1,1988.0,2,2,4,4,2,4,68.0,1,2,1,4,4,4,2,2,1,2,5,1,1,False
2,2,2,1988.0,1,5,1,1,4,4,36.0,2,4,1,1,1,7,2,2,2,2,1,1,5,False
1,2,2,1988.0,2,6,4,5,3,4,31.0,3,3,1,1,4,1,2,1,1,2,2,2,4,True
1,3,1,1988.0,1,3,2,4,4,2,49.0,3,4,1,3,4,3,2,2,2,2,1,2,2,True
2,2,1,1988.0,1,1,4,2,3,4,54.0,4,3,1,3,3,2,2,2,1,2,1,2,1,False
1,2,1,1988.0,2,2,7,4,2,4,62.0,1,1,2,3,5,2,1,1,1,2,5,0,1,False
1,3,1,1988.0,2,1,4,1,3,3,45.0,2,3,5,3,2,4,2,2,1,2,1,1,1,False
1,2,2,1988.0,2,6,1,1,3,2,62.0,3,3,1,3,5,7,2,2,2,2,5,2,1,False
1,1,1,1988.0,2,2,5,1,3,1,34.0,2,2,4,3,6,2,2,2,1,2,3,2,3,False
1,1,2,1988.0,2,4,4,1,4,3,34.0,2,1,4,3,5,2,1,1,1,2,4,3,2,True
2,2,1,1988.0,1,6,3,4,4,4,23.0,4,2,1,1,5,6,2,1,1,2,7,1,3,False
1,2,4,1988.0,1,5,4,4,3,2,25.0,2,3,1,2,3,4,1,1,1,2,1,1,3,True
1,3,2,1988.0,1,6,2,1,3,2,57.0,4,4,1,2,4,6,2,2,2,1,1,1,1,False
1,2,1,1988.0,1,4,3,4,3,4,25.0,3,2,1,2,3,4,1,1,1,1,1,1,1,False
1,1,2,1988.0,2,5,4,1,3,2,39.0,3,4,1,4,3,6,2,2,2,2,1,1,2,False
2,2,1,1988.0,1,2,4,4,3,4,41.0,3,4,1,4,3,1,2,2,1,1,1,1,4,False
1,2,2,1988.0,1,2,6,4,4,4,32.0,2,4,1,4,5,2,1,1,1,1,1,1,3,True
2,3,3,1988.0,2,2,5,1,0,2,76.0,2,1,1,3,3,2,2,2,2,2,5,1,1,True
1,1,4,1988.0,2,2,4,4,4,4,36.0,2,2,4,4,3,2,1,1,1,1,3,1,2,True
1,1,1,1988.0,2,6,4,4,3,3,35.0,2,3,1,3,5,4,2,2,1,2,5,1,2,False
2,1,4,1988.0,1,4,6,4,5,2,24.0,2,1,1,4,1,1,1,1,1,2,2,2,1,True
2,1,3,1988.0,1,4,2,4,5,4,35.0,4,3,1,1,1,6,2,2,1,2,2,1,1,True
1,1,4,1988.0,2,6,5,3,3,3,61.0,2,1,1,1,4,4,1,1,1,2,3,1,2,True
1,2,2,1988.0,2,6,5,1,2,2,52.0,2,2,5,1,4,4,2,2,2,2,1,2,2,False
1,2,2,1988.0,1,6,4,4,2,3,53.0,4,5,1,4,4,5,2,2,2,1,1,1,1,False
1,2,2,1988.0,1,6,2,3,3,4,58.0,4,4,1,4,4,6,2,2,2,2,3,1,1,False
1,2,4,1988.0,2,2,0,1,4,3,52.0,2,3,1,3,2,4,1,1,1,2,1,1,1,True
1,1,4,1988.0,2,6,4,5,3,3,86.0,1,1,1,3,4,4,2,1,1,2,5,1,2,True
2,2,4,1988.0,2,5,6,2,3,2,29.0,2,1,2,3,3,7,2,2,1,2,2,2,2,True
1,2,2,1988.0,1,6,4,4,3,2,60.0,1,1,2,3,3,3,1,1,1,2,2,1,2,True
1,2,2,1988.0,2,7,5,4,3,4,23.0,2,3,1,4,6,7,2,2,2,2,3,1,2,False
1,1,2,1988.0,1,7,2,5,3,4,28.0,3,3,1,4,6,5,2,1,1,2,2,0,2,True
1,2,3,1988.0,2,2,4,4,3,4,53.0,2,3,1,1,3,4,2,2,1,1,1,1,1,True
2,3,2,1988.0,1,7,2,1,2,2,27.0,4,4,1,1,3,7,2,2,2,2,2,2,1,False
2,2,2,1988.0,1,4,4,3,3,3,49.0,2,4,1,1,4,5,2,1,1,2,1,0,1,True
1,2,2,1988.0,2,4,7,4,0,2,81.0,2,2,1,1,4,4,2,2,2,2,5,1,1,False
1,1,4,1988.0,1,4,4,3,3,4,26.0,2,3,1,1,4,7,1,1,1,2,1,1,1,True
2,3,1,1988.0,2,1,5,4,4,4,32.0,3,3,2,2,1,3,2,2,1,1,3,2,3,False
1,1,1,1988.0,2,2,5,2,4,2,48.0,3,4,2,2,3,4,2,2,1,1,1,1,1,False
1,1,4,1988.0,2,5,6,1,5,2,28.0,3,3,1,4,4,2,1,1,1,2,5,1,2,True
1,3,2,1988.0,2,7,4,4,3,4,43.0,3,4,1,4,5,3,2,2,2,2,3,1,1,False
1,3,2,1988.0,1,6,2,3,4,2,25.0,4,3,1,2,3,4,2,2,2,2,1,1,2,False
2,1,1,1988.0,1,6,4,3,0,2,81.0,2,1,1,1,2,4,2,2,2,2,2,1,2,True
2,2,2,1988.0,1,6,5,1,2,3,24.0,2,3,1,1,4,2,2,2,2,2,1,1,2,False
1,1,4,1988.0,1,2,4,5,3,2,32.0,2,3,1,3,5,3,2,1,1,1,1,2,3,True
2,2,2,1988.0,2,6,3,4,3,2,19.0,2,1,1,2,2,3,2,2,2,2,2,2,3,False
2,2,2,1988.0,2,7,4,2,2,4,31.0,3,1,1,2,6,4,2,2,2,2,4,2,1,False
1,3,1,1988.0,2,2,4,2,3,2,78.0,4,1,1,2,4,1,2,1,1,2,1,2,2,False
2,1,2,1988.0,1,7,4,2,3,4,61.0,4,4,1,2,5,1,2,2,2,2,1,1,3,False
1,1,4,1988.0,2,2,4,5,3,2,26.0,2,4,1,3,6,4,1,1,1,2,1,1,2,True
1,2,1,1988.0,1,2,4,2,3,3,35.0,4,4,1,2,6,7,2,1,1,1,7,2,3,False
2,3,1,1988.0,1,1,6,1,5,2,64.0,3,3,1,2,4,1,2,2,1,1,1,1,3,False
2,2,2,1988.0,2,1,1,3,5,1,32.0,2,1,2,3,7,1,1,1,1,2,3,0,2,True
1,1,4,1988.0,1,3,7,4,3,3,25.0,3,3,1,3,1,5,1,1,1,2,2,1,4,True
1,1,4,1988.0,2,6,7,4,3,2,34.0,2,3,5,2,2,3,2,1,1,2,3,0,2,True
1,2,1,1988.0,1,5,6,3,3,3,26.0,4,4,1,4,4,4,2,2,2,2,1,1,1,True
1,2,1,1988.0,2,1,1,2,5,3,22.0,3,3,2,3,1,1,2,1,1,2,1,0,2,False
1,2,2,1988.0,2,7,1,2,3,4,24.0,3,4,1,4,5,7,2,1,1,2,1,0,1,True
1,2,1,1988.0,1,3,5,3,4,4,38.0,4,3,1,4,3,3,2,2,1,1,2,1,1,False
1,2,2,1988.0,1,7,3,4,2,4,80.0,4,4,1,1,2,3,2,2,2,2,1,2,2,False
1,1,1,1988.0,2,3,3,5,3,2,75.0,1,1,1,2,3,3,2,1,1,2,5,0,2,False
1,3,2,1988.0,2,7,3,5,0,2,84.0,2,1,1,2,7,7,2,2,2,2,2,1,1,False
2,2,2,1988.0,1,5,2,3,3,2,35.0,4,4,1,2,5,7,2,2,2,2,1,2,3,False
2,1,1,1988.0,2,3,7,2,5,4,37.0,4,3,1,4,1,2,2,1,1,2,2,1,2,False
2,3,1,1988.0,2,3,3,4,4,4,36.0,3,4,1,4,5,6,2,2,1,2,1,1,1,False
1,1,4,1988.0,2,3,4,3,2,3,22.0,2,1,5,4,2,3,1,1,1,2,4,1,3,True
1,2,1,1988.0,2,1,4,4,5,4,77.0,1,2,5,4,5,4,2,2,1,2,5,1,5,False
2,3,2,1988.0,2,1,4,2,3,4,60.0,3,3,1,2,3,2,2,2,2,2,5,1,1,False
1,3,1,1988.0,1,2,4,5,2,4,66.0,2,2,1,2,4,4,2,2,1,1,1,1,1,False
1,3,1,1988.0,2,1,6,1,4,2,74.0,2,1,1,2,1,4,2,2,1,2,3,3,1,False
1,3,2,1988.0,1,6,3,4,1,2,27.0,3,2,5,4,6,4,2,2,2,2,2,2,1,False
2,1,2,1988.0,2,7,7,1,2,2,21.0,2,2,1,1,3,4,2,2,2,2,1,2,1,False
2,2,4,1988.0,1,3,5,1,5,2,38.0,3,3,1,3,2,5,2,1,1,2,1,2,1,True
1,3,1,1988.0,2,1,4,1,3,4,36.0,3,3,1,2,5,2,2,2,1,2,1,1,1,False
1,2,2,1988.0,2,5,4,1,3,4,67.0,2,1,1,2,7,7,2,1,1,2,1,0,1,True
1,2,1,1988.0,1,3,5,3,3,4,34.0,3,4,5,3,4,3,2,2,1,2,1,1,1,False
1,3,1,1988.0,1,1,7,3,3,4,60.0,1,1,5,3,7,7,2,2,1,2,1,3,2,False
1,1,4,1988.0,1,4,5,5,4,4,38.0,3,1,1,2,4,4,1,1,1,1,3,1,1,True
2,2,1,1988.0,1,3,5,4,3,3,27.0,4,3,1,1,4,1,2,2,1,2,2,2,3,False
1,2,2,1988.0,2,7,3,1,4,1,40.0,2,4,1,2,5,2,2,2,2,2,1,1,2,False
2,3,2,1988.0,1,7,4,4,1,4,38.0,3,4,1,1,4,7,2,2,2,2,3,2,2,False
2,2,2,1988.0,1,5,4,4,3,4,42.0,4,4,1,1,4,5,2,2,2,1,2,1,2,False
1,2,2,1988.0,1,7,4,4,2,3,50.0,2,4,1,1,5,7,2,2,2,1,1,1,1,False
2,3,2,1988.0,2,5,4,2,2,3,40.0,4,4,1,1,5,4,2,2,2,1,1,2,1,False
1,3,2,1988.0,1,5,3,4,2,2,68.0,2,1,1,2,5,4,2,2,2,1,1,1,1,False
2,1,4,1988.0,1,4,3,5,3,3,51.0,2,4,1,2,2,3,2,2,2,1,1,1,2,True
1,3,2,1988.0,1,7,3,2,2,3,36.0,4,3,1,3,7,5,2,2,2,2,1,3,1,False
1,2,2,1988.0,1,5,4,3,3,2,41.0,3,4,1,3,7,6,2,2,2,2,1,2,2,False
1,3,1,1988.0,1,1,3,4,3,2,55.0,2,3,1,2,4,1,2,2,1,1,1,1,1,False
2,1,1,1988.0,1,3,4,5,3,3,40.0,2,4,1,2,4,6,2,2,1,1,1,1,1,False
1,3,2,1988.0,2,7,3,1,3,3,23.0,4,4,1,4,6,5,2,2,2,2,2,2,1,False
1,2,2,1988.0,2,6,3,1,3,4,36.0,3,3,5,4,3,7,2,1,1,2,3,0,1,True
1,2,2,1988.0,2,7,2,4,3,4,52.0,3,4,1,4,4,7,2,2,1,2,1,1,2,True
1,1,1,1988.0,2,1,5,1,3,4,40.0,2,3,1,3,5,1,2,2,1,2,1,1,1,False
1,2,3,1988.0,1,4,3,4,2,2,78.0,1,3,1,1,3,1,2,2,1,2,1,1,1,True
1,2,1,1988.0,2,1,4,1,3,2,63.0,3,3,1,4,4,1,2,1,1,2,1,0,2,False
1,3,1,1988.0,2,3,6,4,3,4,36.0,2,4,1,3,5,2,1,1,1,2,1,2,1,False
1,2,4,1988.0,2,6,5,5,4,2,19.0,2,4,1,1,6,1,1,1,1,2,7,1,1,True
2,2,2,1988.0,1,7,6,4,3,3,56.0,4,4,1,4,5,5,2,2,2,2,1,2,2,False
1,3,1,1988.0,2,2,6,3,3,3,27.0,1,3,5,4,3,3,2,1,1,2,1,1,2,False
1,3,2,1988.0,1,5,3,5,2,4,40.0,3,4,1,1,6,6,2,2,2,1,4,1,1,False
1,1,2,1988.0,2,6,3,4,0,1,29.0,4,3,1,3,6,5,2,2,2,2,2,1,1,False
1,2,4,1988.0,1,2,5,4,4,1,18.0,2,1,1,2,3,3,2,2,1,2,2,2,2,True
1,1,4,1988.0,1,2,4,3,3,1,50.0,1,3,1,3,2,4,1,1,1,2,1,1,1,True
1,3,2,1988.0,1,7,5,2,3,2,36.0,2,3,1,2,6,7,2,2,2,2,1,2,1,False
1,3,1,1988.0,1,1,2,1,4,1,76.0,2,3,1,2,2,4,2,2,1,1,5,1,1,False
1,3,2,1988.0,2,7,1,4,1,3,70.0,3,1,1,4,6,6,2,2,2,2,5,1,1,False
2,2,2,1988.0,1,7,3,3,2,2,29.0,4,4,1,3,5,5,2,2,2,2,1,1,2,False
1,1,4,1988.0,2,2,5,1,4,2,25.0,2,4,1,2,5,4,1,1,1,2,1,1,2,True
1,1,2,1988.0,1,6,7,4,1,4,21.0,3,1,1,4,5,1,2,1,1,2,2,2,1,True
1,3,1,1988.0,1,3,2,3,3,3,53.0,2,3,1,1,5,2,2,2,1,2,3,2,1,False
1,1,2,1988.0,2,2,6,1,3,1,44.0,2,3,5,1,4,3,2,2,1,2,1,1,1,True
2,3,1,1988.0,2,1,6,1,4,2,26.0,2,2,5,1,2,3,1,1,1,2,1,1,1,False
1,1,4,1988.0,2,1,4,4,2,2,26.0,3,3,5,1,3,3,1,1,1,1,4,2,2,True
2,2,1,1988.0,1,2,5,4,4,3,40.0,3,3,1,4,2,5,2,2,2,2,1,1,3,True
2,2,2,1988.0,2,6,3,3,3,3,37.0,3,5,1,4,3,2,2,2,2,2,1,1,2,False
2,2,3,1988.0,2,6,5,2,0,2,32.0,4,4,1,4,4,3,2,1,1,1,2,1,1,True
1,2,1,1988.0,2,2,5,1,5,1,48.0,4,5,1,4,5,5,2,2,1,2,1,2,2,False
1,1,1,1988.0,1,2,4,4,3,4,27.0,4,4,1,4,3,4,2,2,2,2,1,2,4,True
2,1,1,1988.0,2,3,5,4,4,1,47.0,2,1,2,3,4,7,2,1,1,2,4,2,1,False
1,1,2,1988.0,2,5,4,1,4,1,41.0,4,3,1,3,3,3,2,1,1,2,1,2,2,True
1,2,1,1988.0,2,1,5,4,2,3,48.0,4,3,1,2,4,7,2,2,1,2,3,2,3,False
1,3,1,1988.0,1,1,6,4,5,3,82.0,2,1,1,4,4,7,2,2,1,2,3,2,4,False
1,2,1,1988.0,2,1,4,5,4,4,67.0,1,2,1,4,4,1,2,2,1,2,5,1,1,False
1,1,4,1988.0,2,4,5,1,0,1,85.0,1,1,1,4,4,4,1,1,1,2,5,1,1,True
1,2,2,1988.0,2,1,4,3,3,4,28.0,2,1,2,2,7,5,2,2,1,2,4,1,1,True
